mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,2,5.0,2,3,211018.4568123117,0.0,64.22872748068859,211047.85110899375,29.394296682075293,64.97131873318004
quadratic_benchmark,3,7.0,3,4,17088558.80366622,0.0,585.353553349129,17088588.197962902,29.394296682075293,584.6127246275469
quadratic_benchmark,4,9.0,4,5,1384133618.42549,0.0,5260.6916635723765,1384133647.8197865,29.394296682075293,5261.432618635664
quadratic_benchmark,5,11.0,5,6,112114876820.45915,0.0,47353.64516088527,112114876849.85345,29.394296682075293,47352.9042108618
quadratic_benchmark,6,13.0,6,7,9081307258464.23,0.0,426175.44934025494,9081307258493.625,29.394296682075293,426176.19028994907
quadratic_benchmark,7,15.0,7,8,735585967655752.2,0.0,3835586.661394788,735585967655781.6,29.394296682075293,3835585.920444984
quadratic_benchmark,8,17.0,8,9,5.958246353717223e+16,0.0,34520272.58855104,5.9582463537172264e+16,29.394296682075293,34520273.32950082
quadratic_benchmark,9,19.0,9,10,4.826179552878616e+18,0.0,310682460.9114144,4.826179552878616e+18,29.394296682075293,310682460.1704646
quadratic_benchmark,10,21.0,10,11,3.909205438624859e+20,0.0,2796142141.0769005,3.909205438624859e+20,29.394296682075293,2796142141.817851
quadratic_benchmark,11,23.0,11,12,3.1664564053204527e+22,0.0,25165279277.237972,3.1664564053204527e+22,29.394296682075293,25165279276.497025
quadratic_benchmark,12,25.0,12,13,2.5648296883078133e+24,0.0,226487513487.65485,2.5648296883078133e+24,29.394296682075293,226487513488.39578
quadratic_benchmark,166,200.0,166.0,34.0,,-29.391220048741637,0.0,,0.0030766333336558205,
quadratic_benchmark,166,200.0,166.0,34.0,,-29.391220039124576,0.0,,0.003076642950716746,
